City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
497,Muncar,ID,82.44,-8.4333,114.3333,Zaky Homestay
500,Conakry,GN,81.7,9.538,-13.6773,Riviera Royal Hotel
501,Kupang,ID,88.57,-10.1667,123.5833,Hotel On The Rock by Prasanthi
502,Coari,BR,75.94,-4.085,-63.1414,Dellrey Hotel Center
503,Kieta,PG,84.85,-6.2167,155.6333,Uruna Bay Retreat
510,Vanimo,PG,83.89,-2.6741,141.3028,Vahmoneh Lodge Vanimo
513,Manado,ID,88.57,1.487,124.8455,Aryaduta Hotel
514,Zachary,US,76.73,30.6485,-91.1565,"Holiday Inn Express & Suites Baton Rouge North, an IHG Hotel"
518,Podor,MR,78.75,16.6527,-14.9587,Auberge Du Tékrour
520,Ahuimanu,US,85.14,21.4447,-157.8378,Paradise Bay Resort
521,Baracoa,CU,75.85,20.3467,-74.4958,Hostal Rio Miel
522,Karaton,ID,77.67,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
528,San Ignacio,BZ,77.14,17.1561,-89.0714,Rainforest Haven Inn
531,Areia Branca,BR,78.67,-4.9561,-37.1369,Areia Branca Apart Hotel
537,San Buenaventura,MX,75.69,27.0833,-101.5333,Hotel Gran Plaza
538,Sampit,ID,81.61,-2.5333,112.95,Aquarius Boutique Hotel Sampit
539,Obregon,NI,77.09,11.9566,-85.9636,Hostal Casa Aryen
541,Doha,QA,80.58,25.2867,51.5333,Mövenpick Doha
542,Road Town,VG,80.64,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
551,Dwarka,IN,79.16,22.2394,68.9678,Hotel Narayan Avezika Comfort
559,Bontang,ID,79.77,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
566,Makakilo City,US,83.95,21.3469,-158.0858,Marriott's Ko Olina Beach Club
569,Cozumel,MX,81.07,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
576,Lhokseumawe,ID,78.44,5.1801,97.1507,OYO 3278 Penginapan Alfajri
577,Sinnamary,GF,76.86,5.3833,-52.95,ALETHEIA Appartement Sinnamary
579,Lethem,GY,75.76,3.3803,-59.7968,Savannah Inn
590,Tornabe,HN,82.38,15.75,-87.55,Indura Beach & Golf Resort
592,Malindi,KE,76.26,-3.2175,40.1191,African House Resort
593,Mount Isa,AU,85.77,-20.7333,139.5,ibis Styles Mt Isa Verona
596,Karratha,AU,84.94,-20.7377,116.8463,ibis Styles Karratha
598,Kroya,ID,80.01,-7.6331,109.2461,Wisma Legoq Kost
599,Kavaratti,IN,80.89,10.5669,72.642,Green leaf
612,Aquiraz,BR,80.19,-3.9014,-38.3911,Pousada Rua Camurupim
616,Olinda,BR,80.33,-8.0089,-34.8553,Flat Quatro Rodas Olinda
621,Mareeba,AU,80.44,-17.0,145.4333,Trinity Plains Tourist Park
626,Ormara,PK,79.09,25.2088,64.6357,Kenara Colony House for Rent
632,Ugoofaaru,MV,81.07,5.6667,73.0,Ungoofaaru Inn
633,Yulara,AU,81.12,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
635,Les Cayes,HT,75.67,18.2,-73.75,Villa Orphee
639,Kawalu,ID,77.49,-7.3817,108.2082,West Jontor
650,Mkokotoni,TZ,76.06,-5.8767,39.2547,
654,Samarai,PG,84.47,-10.6167,150.6667,Nuli Sapi
664,Banda Aceh,ID,78.15,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
665,Careiro Da Varzea,BR,81.21,-3.2003,-59.8119,POUSADA DA ALDENORA
666,Pitimbu,BR,79.39,-7.4706,-34.8086,Reserva do Abiaí
667,Fare,PF,75.07,-16.7,-151.0167,Maitai Lapita Village Huahine
680,Hounde,BF,76.77,11.5,-3.5167,Carrefour où ouvriers dorment
